"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Overall","Season peak week","week","Bin","40","41",0.00220260090306637
"Overall","Season peak week","week","Bin","41","42",0.00220260090306637
"Overall","Season peak week","week","Bin","42","43",0.00220260090306637
"Overall","Season peak week","week","Bin","43","44",0.00220260090306637
"Overall","Season peak week","week","Bin","44","45",0.00220260090306637
"Overall","Season peak week","week","Bin","45","46",0.00220260090306637
"Overall","Season peak week","week","Bin","46","47",0.00220260090306637
"Overall","Season peak week","week","Bin","47","48",0.00220260090306637
"Overall","Season peak week","week","Bin","48","49",0.00220260090306637
"Overall","Season peak week","week","Bin","49","50",0.00220260090306637
"Overall","Season peak week","week","Bin","50","51",0.00220260090306637
"Overall","Season peak week","week","Bin","51","52",0.00408151167341978
"Overall","Season peak week","week","Bin","52","53",0.0188413077249362
"Overall","Season peak week","week","Bin","1","2",0.0276972113558566
"Overall","Season peak week","week","Bin","2","3",0.559780229509894
"Overall","Season peak week","week","Bin","3","4",0.251354103055182
"Overall","Season peak week","week","Bin","4","5",0.00916643375823784
"Overall","Season peak week","week","Bin","5","6",0.00220260090306637
"Overall","Season peak week","week","Bin","6","7",0.00220260090306637
"Overall","Season peak week","week","Bin","7","8",0.00998544409403207
"Overall","Season peak week","week","Bin","8","9",0.0306492125661771
"Overall","Season peak week","week","Bin","9","10",0.00408151167341978
"Overall","Season peak week","week","Bin","10","11",0.0158894065146567
"Overall","Season peak week","week","Bin","11","12",0.0158894065146567
"Overall","Season peak week","week","Bin","12","13",0.0129374053043362
"Overall","Season peak week","week","Bin","13","14",0.00220260090306637
"Overall","Season peak week","week","Bin","14","15",0.00220260090306637
"Overall","Season peak week","week","Bin","15","16",0.00220260090306637
"Overall","Season peak week","week","Bin","16","17",0.00220260090306637
"Overall","Season peak week","week","Bin","17","18",0.00220260090306637
"Overall","Season peak percentage","percent","Bin","0","0.1",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.1","0.2",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.2","0.3",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.3","0.4",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.4","0.5",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.5","0.6",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.6","0.7",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.7","0.8",0.000664089067072995
"Overall","Season peak percentage","percent","Bin","0.8","0.9",0.000727815073509322
"Overall","Season peak percentage","percent","Bin","0.9","1",0.000861763087038071
"Overall","Season peak percentage","percent","Bin","1","1.1",0.000998210100819219
"Overall","Season peak percentage","percent","Bin","1.1","1.2",0.00113517011465218
"Overall","Season peak percentage","percent","Bin","1.2","1.3",0.00127088012835889
"Overall","Season peak percentage","percent","Bin","1.3","1.4",0.00140380014178381
"Overall","Season peak percentage","percent","Bin","1.4","1.5",0.00153258015479059
"Overall","Season peak percentage","percent","Bin","1.5","1.6",0.00165610016726612
"Overall","Season peak percentage","percent","Bin","1.6","1.7",0.00177342017911544
"Overall","Season peak percentage","percent","Bin","1.7","1.8",0.00188379019026281
"Overall","Season peak percentage","percent","Bin","1.8","1.9",0.00198661020064763
"Overall","Season peak percentage","percent","Bin","1.9","2",0.00208144021022546
"Overall","Season peak percentage","percent","Bin","2","2.1",0.00216797021896499
"Overall","Season peak percentage","percent","Bin","2.1","2.2",0.00224601022684703
"Overall","Season peak percentage","percent","Bin","2.2","2.3",0.00231549023386451
"Overall","Season peak percentage","percent","Bin","2.3","2.4",0.00237641024001743
"Overall","Season peak percentage","percent","Bin","2.4","2.5",0.00242886024531488
"Overall","Season peak percentage","percent","Bin","2.5","2.6",0.00247300024977302
"Overall","Season peak percentage","percent","Bin","2.6","2.7",0.00250906025341508
"Overall","Season peak percentage","percent","Bin","2.7","2.8",0.0025372802562653
"Overall","Season peak percentage","percent","Bin","2.8","2.9",0.00255799025835701
"Overall","Season peak percentage","percent","Bin","2.9","3",0.00257150025972152
"Overall","Season peak percentage","percent","Bin","3","3.1",0.00257819026039721
"Overall","Season peak percentage","percent","Bin","3.1","3.2",0.00257843026042145
"Overall","Season peak percentage","percent","Bin","3.2","3.3",0.00257260025983262
"Overall","Season peak percentage","percent","Bin","3.3","3.4",0.00256111025867213
"Overall","Season peak percentage","percent","Bin","3.4","3.5",0.00254435025697937
"Overall","Season peak percentage","percent","Bin","3.5","3.6",0.00252272025479474
"Overall","Season peak percentage","percent","Bin","3.6","3.7",0.00249662025215864
