"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Overall","Season peak week","week","Bin","40","41",0.00228077098256341
"Overall","Season peak week","week","Bin","41","42",0.00232946599436062
"Overall","Season peak week","week","Bin","42","43",0.00235693261004372
"Overall","Season peak week","week","Bin","43","44",0.00238542699813931
"Overall","Season peak week","week","Bin","44","45",0.00242232353032148
"Overall","Season peak week","week","Bin","45","46",0.00247382875350868
"Overall","Season peak week","week","Bin","46","47",0.00254715653085027
"Overall","Season peak week","week","Bin","47","48",0.0026504609014931
"Overall","Season peak week","week","Bin","48","49",0.0028362692882684
"Overall","Season peak week","week","Bin","49","50",0.00346556205429879
"Overall","Season peak week","week","Bin","50","51",0.00499361419336985
"Overall","Season peak week","week","Bin","51","52",0.0115674153183709
"Overall","Season peak week","week","Bin","52","53",0.0402276593785757
"Overall","Season peak week","week","Bin","1","2",0.0908322799313228
"Overall","Season peak week","week","Bin","2","3",0.119266667204996
"Overall","Season peak week","week","Bin","3","4",0.12294057812281
"Overall","Season peak week","week","Bin","4","5",0.12757846799051
"Overall","Season peak week","week","Bin","5","6",0.121605352657094
"Overall","Season peak week","week","Bin","6","7",0.0923383756547965
"Overall","Season peak week","week","Bin","7","8",0.0605554268214663
"Overall","Season peak week","week","Bin","8","9",0.0390269321935138
"Overall","Season peak week","week","Bin","9","10",0.0264609871537118
"Overall","Season peak week","week","Bin","10","11",0.0215238939837907
"Overall","Season peak week","week","Bin","11","12",0.0185742823275947
"Overall","Season peak week","week","Bin","12","13",0.0156986818379694
"Overall","Season peak week","week","Bin","13","14",0.0132573656094089
"Overall","Season peak week","week","Bin","14","15",0.0111788573973808
"Overall","Season peak week","week","Bin","15","16",0.0110409398546226
"Overall","Season peak week","week","Bin","16","17",0.0131592774697347
"Overall","Season peak week","week","Bin","17","18",0.0124247472551133
"Overall","Season peak percentage","percent","Bin","0","0.1",0.00128611966857042
"Overall","Season peak percentage","percent","Bin","0.1","0.2",0.00133949517798112
"Overall","Season peak percentage","percent","Bin","0.2","0.3",0.00139581557438371
"Overall","Season peak percentage","percent","Bin","0.3","0.4",0.00145748294836201
"Overall","Season peak percentage","percent","Bin","0.4","0.5",0.00152838887392215
"Overall","Season peak percentage","percent","Bin","0.5","0.6",0.00161352654754139
"Overall","Season peak percentage","percent","Bin","0.6","0.7",0.00172086084872855
"Overall","Season peak percentage","percent","Bin","0.7","0.8",0.00186430726122296
"Overall","Season peak percentage","percent","Bin","0.8","0.9",0.00207001164884865
"Overall","Season peak percentage","percent","Bin","0.9","1",0.00237016112196373
"Overall","Season peak percentage","percent","Bin","1","1.1",0.00282152987040991
"Overall","Season peak percentage","percent","Bin","1.1","1.2",0.00348645439721647
"Overall","Season peak percentage","percent","Bin","1.2","1.3",0.00445304103277516
"Overall","Season peak percentage","percent","Bin","1.3","1.4",0.0057172347844667
"Overall","Season peak percentage","percent","Bin","1.4","1.5",0.00729124007591224
