location,target,type,unit,bin_start_incl,bin_end_notincl,value
0-4 yr,Season peak week,Point,week,NA,NA,52
0-4 yr,Season peak week,Bin,week,40,41.0,0.007763917298934543
0-4 yr,Season peak week,Bin,week,41,42.0,0.007768997677039834
0-4 yr,Season peak week,Bin,week,42,43.0,0.0077713688591727476
0-4 yr,Season peak week,Bin,week,43,44.0,0.007773930398581328
0-4 yr,Season peak week,Bin,week,44,45.0,0.007776978229327128
0-4 yr,Season peak week,Bin,week,45,46.0,0.0077809827087271695
0-4 yr,Season peak week,Bin,week,46,47.0,0.0077864483384756135
0-4 yr,Season peak week,Bin,week,47,48.0,0.007793795169525766
0-4 yr,Season peak week,Bin,week,48,49.0,0.007802983617763236
0-4 yr,Season peak week,Bin,week,49,50.0,0.00781347912710127
0-4 yr,Season peak week,Bin,week,50,51.0,0.007831401287478175
0-4 yr,Season peak week,Bin,week,51,52.0,0.012815329039643185
0-4 yr,Season peak week,Bin,week,52,53.0,0.5222341582880576
0-4 yr,Season peak week,Bin,week,1,2.0,0.012767669412127959
0-4 yr,Season peak week,Bin,week,2,3.0,0.007845105623533306
0-4 yr,Season peak week,Bin,week,3,4.0,0.007833508187212804
0-4 yr,Season peak week,Bin,week,4,5.0,0.00782865994620495
0-4 yr,Season peak week,Bin,week,5,6.0,0.007824223349487713
0-4 yr,Season peak week,Bin,week,6,7.0,0.00782055824412028
0-4 yr,Season peak week,Bin,week,7,8.0,0.007820913447466429
0-4 yr,Season peak week,Bin,week,8,9.0,0.21256100675784284
0-4 yr,Season peak week,Bin,week,9,10.0,0.015114777216435123
0-4 yr,Season peak week,Bin,week,10,11.0,0.02356381195041457
0-4 yr,Season peak week,Bin,week,11,12.0,0.017947796657179712
0-4 yr,Season peak week,Bin,week,12,13.0,0.01104690088201666
0-4 yr,Season peak week,Bin,week,13,14.0,0.008206085492227474
0-4 yr,Season peak week,Bin,week,14,15.0,0.007784532268563114
0-4 yr,Season peak week,Bin,week,15,16.0,0.007778749767103937
0-4 yr,Season peak week,Bin,week,16,17.0,0.007773433180482812
0-4 yr,Season peak week,Bin,week,17,18.0,0.007768497577752596
0-4 yr,Season peak percentage,Point,percent,NA,NA,5
0-4 yr,Season peak percentage,Bin,percent,0,0.1,0.0019871179892607884
0-4 yr,Season peak percentage,Bin,percent,0.1,0.2,0.001994153140949855
0-4 yr,Season peak percentage,Bin,percent,0.2,0.3,0.001998272796648829
0-4 yr,Season peak percentage,Bin,percent,0.3,0.4,0.0020008269375843993
0-4 yr,Season peak percentage,Bin,percent,0.4,0.5,0.0020027910716918108
0-4 yr,Season peak percentage,Bin,percent,0.5,0.6,0.002004419285743094
0-4 yr,Season peak percentage,Bin,percent,0.6,0.7,0.002005784108861442
0-4 yr,Season peak percentage,Bin,percent,0.7,0.8,0.002006909452641285
0-4 yr,Season peak percentage,Bin,percent,0.8,0.9,0.0020077731719325234
0-4 yr,Season peak percentage,Bin,percent,0.9,1.0,0.0020084495363058034
0-4 yr,Season peak percentage,Bin,percent,1,1.1,0.002008958345477574
0-4 yr,Season peak percentage,Bin,percent,1.1,1.2,0.002009318938326404
0-4 yr,Season peak percentage,Bin,percent,1.2,1.3,0.0020095628400549352
0-4 yr,Season peak percentage,Bin,percent,1.3,1.4,0.0020097363070800474
0-4 yr,Season peak percentage,Bin,percent,1.4,1.5,0.002009861680610818
0-4 yr,Season peak percentage,Bin,percent,1.5,1.6,0.0020099233904893096
0-4 yr,Season peak percentage,Bin,percent,1.6,1.7,0.002009971828085852
0-4 yr,Season peak percentage,Bin,percent,1.7,1.8,0.002010005051973983
0-4 yr,Season peak percentage,Bin,percent,1.8,1.9,0.0020100216643312054
0-4 yr,Season peak percentage,Bin,percent,1.9,2.0,0.002010017949430631
0-4 yr,Season peak percentage,Bin,percent,2,2.1,0.002010024128618
